Country Name,Country Code,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,SP.POP.1564.TO.ZS,SP.POP.0014.TO.ZS,SP.POP.65UP.TO.ZS,SP.POP.TOTL.FE.ZS,SP.POP.TOTL.MA.ZS,SP.POP.TOTL,SI.POV.GAPS,SI.POV.UMIC.GP,SH.IMM.MEAS,SH.IMM.IDPT,SG.GEN.PARL.ZS,EN.ATM.CO2E.PC,EN.ATM.METH.KT.CE,EN.ATM.GHGT.KT.CE,SH.H2O.SMDW.ZS,SH.H2O.SMDW.UR.ZS,SH.H2O.BASW.RU.ZS
Jordan,JOR,43700383098.59155,3998.673138292354,63.3290299935372,33.0584933040197,3.61247670244304,48.1112748692185,51.8887342809831,10928721,NA,NA,76,77,11.5384615384615,1.919172426489797,6678.095787,33146.35261,85.7168391097819,NA,96.9763947974879
Kazakhstan,KAZ,171082365861.4229,9121.6364090415609,62.9114923076753,29.2444540596271,7.84405363269757,51.9471930466352,48.0528069533648,18755666,0,2.2,93,88,27.1028037383178,11.297743305942856,69749.45146,294805.9457,89.3346437095975,NA,91.9392523430696
Kenya,KEN,100657505750.545,1936.2507545437425,58.2239085380656,38.9730143512322,2.8030771107022,50.4081731581213,49.5918268418787,51985780,9.7,53.5,88,89,21.7765042979943,0.37407921935575456,37602.48554,80188.01667,NA,NA,51.831707423043
Kiribati,KIR,177553274.58476278,1403.9938526269564,60.1228813056732,36.1914702661242,3.6856484282026,51.3731288993619,48.6268711006381,126463,NA,NA,82,92,8.88888888888889,0.449933972782553,23.209951,88.571671,13.9753467093976,20.0373047133747,58.5512920801519
"Korea, Dem. People's Rep.",PRK,NA,NA,69.8856869132181,19.0133633880735,11.1009496987084,50.601058078087,49.398941921913,25867467,NA,NA,99,97,17.6128093158661,2.02714861876503,18145.48138,76079.90868,66.380897032912,76.9636051655807,88.7536248830462
"Korea, Rep.",KOR,1644312831906.1692,31721.298914185674,72.0045160651504,12.1664146109619,15.8290693238877,50.0401101829329,49.9598917459049,51836239,NA,NA,98,98,19,10.990029581428546,21990.13017,659329.6994,99.1289130840804,NA,NA
Kosovo,XKX,7717145217.812473,4310.934002005702,67.6721143880838,22.6386448542331,9.68924075768309,50.1382057080334,49.8617942919666,1790133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuwait,KWT,105948807280.7307,24297.710802095084,75.0417875975718,20.9743066331884,3.98390576923981,38.7433940213428,61.2566059786572,4360444,NA,NA,95,93,6.34920634920635,21.16961025069924,22640.62617,135896.7903,100,100,NA
Kyrgyz Republic,KGZ,8270468614.240511,1256.929226012631,61.3788068061724,34.3532106621858,4.26798253164187,50.8927023315944,49.1072976684056,6579900,0.2,23.3,92,87,16.5217391304348,1.379975379565039,4864.996701,16093.54198,76.3385372917454,91.84967,85.7707186151589
Lao PDR,LAO,18981800705.079376,2593.355097198469,64.347093251782,31.3743314171013,4.27857533111667,49.5884156609033,50.4115843390967,7319399,NA,NA,79,79,27.5167785234899,2.6202834413044025,8011.314315,30491.44478,17.6819038152423,26.987436862545,78.472959421611293
